,name,food_link,drink_link
93,肉男 MEATMAN　(ミートマン)　仙台,https://www.hotpepper.jp/strJ001009868/food/,https://www.hotpepper.jp/strJ001009868/drink/
94,炭火焼鳥　MOJA国分町店　(もじゃこくぶんちょうてん),https://www.hotpepper.jp/strJ001135926/food/,https://www.hotpepper.jp/strJ001135926/drink/
95,日本酒と金沢おでんと日本海料理 国分町 加賀の屋,https://www.hotpepper.jp/strJ001143966/food/,https://www.hotpepper.jp/strJ001143966/drink/
96,GOLF CLUB国分町（ゴルフクラブ）,https://www.hotpepper.jp/strJ001110488/food/,https://www.hotpepper.jp/strJ001110488/drink/
97,【barbe　国分町二丁目】肉　ステーキ　飲み放題　二次会　ワイン　貸切　イタリアン,https://www.hotpepper.jp/strJ000740578/food/,https://www.hotpepper.jp/strJ000740578/drink/
98,仙臺もも焼き　火鳥　HINOTORI,https://www.hotpepper.jp/strJ001191979/food/,https://www.hotpepper.jp/strJ001191979/drink/
99,SmileBar(スミレバー),https://www.hotpepper.jp/strJ000764214/food/,https://www.hotpepper.jp/strJ000764214/drink/
100,郷土料理　心平(しんぺい),https://www.hotpepper.jp/strJ000026362/food/,https://www.hotpepper.jp/strJ000026362/drink/
101,個室 和食 日本酒　仙臺 鳳山(せんだい ほうざん),https://www.hotpepper.jp/strJ001134560/food/,https://www.hotpepper.jp/strJ001134560/drink/
102,retro Back Page　レトロ バックページ　　（貸切　2次会　飲み放題　夜景　国分町）,https://www.hotpepper.jp/strJ000100896/food/,https://www.hotpepper.jp/strJ000100896/drink/
103,北海三陸炭火焼　まるかん,https://www.hotpepper.jp/strJ000806004/food/,https://www.hotpepper.jp/strJ000806004/drink/
104,海鮮酒房   べっか　　個室あり,https://www.hotpepper.jp/strJ001201731/food/,https://www.hotpepper.jp/strJ001201731/drink/
105,FOOD＆DINING　KENKENーケンケンー,https://www.hotpepper.jp/strJ001208325/food/,https://www.hotpepper.jp/strJ001208325/drink/
106,チーズ×肉バル チーズインニューヨーク 仙台国分町店,https://www.hotpepper.jp/strJ001209540/food/,https://www.hotpepper.jp/strJ001209540/drink/
107,金市朗　国分町店,https://www.hotpepper.jp/strJ000650983/food/,https://www.hotpepper.jp/strJ000650983/drink/
108,三陸・宮城のうまいもの　瑠璃座,https://www.hotpepper.jp/strJ000661809/food/,https://www.hotpepper.jp/strJ000661809/drink/
109,肉バル ジャスト肉（ジャストミート）,https://www.hotpepper.jp/strJ001100524/food/,https://www.hotpepper.jp/strJ001100524/drink/
110,ほたる　仙台国分町店,https://www.hotpepper.jp/strJ001194890/food/,https://www.hotpepper.jp/strJ001194890/drink/
111,【4/1 OPEN】個室完備　仙台個室居酒屋　杜のおかえり,https://www.hotpepper.jp/strJ001202636/food/,https://www.hotpepper.jp/strJ001202636/drink/
112,LIVE HOUSE　KENTO'S　仙台（ライブハウスケントス）,https://www.hotpepper.jp/strJ000277509/food/,https://www.hotpepper.jp/strJ000277509/drink/
113,炭火焼・海鮮居酒屋　海鮮屋　,https://www.hotpepper.jp/strJ000026754/food/,https://www.hotpepper.jp/strJ000026754/drink/
114,隠れ家ダイニング　α ＋ white（エーホワイト）,https://www.hotpepper.jp/strJ001195818/food/,https://www.hotpepper.jp/strJ001195818/drink/
115,うまいもんdeしあわせ 壱一 (いち) 国分町店,https://www.hotpepper.jp/strJ000028497/food/,https://www.hotpepper.jp/strJ000028497/drink/
116,仙台料理　ほんま,https://www.hotpepper.jp/strJ000026505/food/,https://www.hotpepper.jp/strJ000026505/drink/
117,ＳＣＯＴＣＨ　ＢＡＮＫ,https://www.hotpepper.jp/strJ000027075/food/,https://www.hotpepper.jp/strJ000027075/drink/
118,炉だん,https://www.hotpepper.jp/strJ000742996/food/,https://www.hotpepper.jp/strJ000742996/drink/
119,焼肉牛たん工房    兼   Ｋｅｎ（けん）,https://www.hotpepper.jp/strJ000055607/food/,https://www.hotpepper.jp/strJ000055607/drink/
120,ＳＣＯＴＣＨ　ＢＡＮＫ,https://www.hotpepper.jp/strJ000027075/food/,https://www.hotpepper.jp/strJ000027075/drink/
121,ラブミー牧場,https://www.hotpepper.jp/strJ000041257/food/,https://www.hotpepper.jp/strJ000041257/drink/
122,居酒屋　仙きち,https://www.hotpepper.jp/strJ001194183/food/,https://www.hotpepper.jp/strJ001194183/drink/
123,宮城の酒処　鶏きち,https://www.hotpepper.jp/strJ001192527/food/,https://www.hotpepper.jp/strJ001192527/drink/
124,占い＆ＢＡＲ　ＲＩＮＧ(リング),https://www.hotpepper.jp/strJ000028420/food/,https://www.hotpepper.jp/strJ000028420/drink/
125,食彩巧房　仙人屋,https://www.hotpepper.jp/strJ001039864/food/,https://www.hotpepper.jp/strJ001039864/drink/
126,BAR BULL,https://www.hotpepper.jp/strJ001211075/food/,https://www.hotpepper.jp/strJ001211075/drink/
127,ＣＡＤＩＺ　(カディス),https://www.hotpepper.jp/strJ001099953/food/,https://www.hotpepper.jp/strJ001099953/drink/
128,焼蛤　神楽,https://www.hotpepper.jp/strJ001171888/food/,https://www.hotpepper.jp/strJ001171888/drink/
129,JAPANX一頭買い 焼きとん　肉喰是(にくいぜ）,https://www.hotpepper.jp/strJ001008733/food/,https://www.hotpepper.jp/strJ001008733/drink/
130,ナインサーガ,https://www.hotpepper.jp/strJ001210613/food/,https://www.hotpepper.jp/strJ001210613/drink/
131,鉄板DINING鼎,https://www.hotpepper.jp/strJ001202098/food/,https://www.hotpepper.jp/strJ001202098/drink/
132,FOOD DINING　Ａｒｉｅｌ(アリエル)国分町店,https://www.hotpepper.jp/strJ001184825/food/,https://www.hotpepper.jp/strJ001184825/drink/
133,旬海さとう,https://www.hotpepper.jp/strJ000974401/food/,https://www.hotpepper.jp/strJ000974401/drink/
134,カラオケ＆フードSato～Secand Room～,https://www.hotpepper.jp/strJ001210304/food/,https://www.hotpepper.jp/strJ001210304/drink/
135,朝市直結 串揚げ油食来(オイルショック)仙台駅前朝市店,https://www.hotpepper.jp/strJ001185083/food/,https://www.hotpepper.jp/strJ001185083/drink/
136,骨付き鶏　ひなや,https://www.hotpepper.jp/strJ001038757/food/,https://www.hotpepper.jp/strJ001038757/drink/
137,東北の地酒と魚馬肉料理 酒肴さとう,https://www.hotpepper.jp/strJ001210269/food/,https://www.hotpepper.jp/strJ001210269/drink/
138,ビストロ　布袋屋,https://www.hotpepper.jp/strJ001208408/food/,https://www.hotpepper.jp/strJ001208408/drink/
139,とんがらし,https://www.hotpepper.jp/strJ000061413/food/,https://www.hotpepper.jp/strJ000061413/drink/
140,FOOD DINING　Ａｒｉｅｌ(アリエル)国分町店,https://www.hotpepper.jp/strJ001184825/food/,https://www.hotpepper.jp/strJ001184825/drink/
141,BAR BULL,https://www.hotpepper.jp/strJ001211075/food/,https://www.hotpepper.jp/strJ001211075/drink/
142,食彩巧房　仙人屋,https://www.hotpepper.jp/strJ001039864/food/,https://www.hotpepper.jp/strJ001039864/drink/
143,朝市直結 串揚げ油食来(オイルショック)仙台駅前朝市店,https://www.hotpepper.jp/strJ001185083/food/,https://www.hotpepper.jp/strJ001185083/drink/
144,ナインサーガ,https://www.hotpepper.jp/strJ001210613/food/,https://www.hotpepper.jp/strJ001210613/drink/
145,北陸おでんBAR　DENDEN,https://www.hotpepper.jp/strJ001210307/food/,https://www.hotpepper.jp/strJ001210307/drink/
146,HIGHBALL BAR 杜の都1923,https://www.hotpepper.jp/strJ001126030/food/,https://www.hotpepper.jp/strJ001126030/drink/
147,飲笑語楽,https://www.hotpepper.jp/strJ000768631/food/,https://www.hotpepper.jp/strJ000768631/drink/
148,和ダイニング　V31(ブイサイン),https://www.hotpepper.jp/strJ001185165/food/,https://www.hotpepper.jp/strJ001185165/drink/
149,大町へそのを,https://www.hotpepper.jp/strJ000655937/food/,https://www.hotpepper.jp/strJ000655937/drink/
150,なみなみ,https://www.hotpepper.jp/strJ000064078/food/,https://www.hotpepper.jp/strJ000064078/drink/
151,牛たん　一福,https://www.hotpepper.jp/strJ000100947/food/,https://www.hotpepper.jp/strJ000100947/drink/
152,舞鶴,https://www.hotpepper.jp/strJ000277528/food/,https://www.hotpepper.jp/strJ000277528/drink/
153,肉とチーズフォンデュ&ピザ食べ放題 仙台国分町　ONE DROP CAFE(ワンドロップカフェ),https://www.hotpepper.jp/strJ001160692/food/,https://www.hotpepper.jp/strJ001160692/drink/
154,CAFE&BAR ゲームハウス コング,https://www.hotpepper.jp/strJ001177077/food/,https://www.hotpepper.jp/strJ001177077/drink/
155,とらの尾,https://www.hotpepper.jp/strJ000026863/food/,https://www.hotpepper.jp/strJ000026863/drink/
156,炭火串焼　さんだぁばーど,https://www.hotpepper.jp/strJ000026534/food/,https://www.hotpepper.jp/strJ000026534/drink/
157,AMBER　RONDO　アンバーロンド,https://www.hotpepper.jp/strJ000722389/food/,https://www.hotpepper.jp/strJ000722389/drink/
158,太左ェ門,https://www.hotpepper.jp/strJ000277451/food/,https://www.hotpepper.jp/strJ000277451/drink/
